Liste compléments nutritionnels top 1% ,,,,,
PRODUIT,IMPACT PHYSIOLOGIQUE,SYMPTÔMES & BESOINS CIBLÉS,MARQUE,POSOLOGIE,CONTRES INDICATIONS
Native whey isolat 1 shakes / J,Stoppe le catabolisme (destruction musculaire) et lance la synthèse protéique immédiate.,Manque de muscle • Faim le matin • Digestion difficile du lait,Nutrimuscle,30 g après l'éffort (et ou petit dej),Allergie Lait (PLV). Insuffisance rénale avérée
Native whey isolat 2 shakes / J,Stoppe la destruction musculaire (catabolisme) et lance la construction.,Veut du muscle • A faim le matin • Digère mal le lait,Nutrimuscle,30 g avant et après l'éffort (et ou petit dej),Allergie Lait (PLV). Insuffisance rénale avérée
MCT Bio ,"Active la cétose (énergie gras) pour le cerveau et la satiété, sans stockage adipeux.",Brouillard mental • Fringales de sucre • Difficulté à sécher,Nutrimuscle,"10 g par jour le matin petit dej (commencer par 5g, 7 jours)",Estomac sensible (risque diarrhée). À éviter si gastrite
Poudre de psyllium bio ,"Agit comme un ""balai"" intestinal et crée un volume gastrique (coupe-faim mécanique).",Ventre gonflé • Transit irrégulier • Faim constante,Sunday Naturel,"1 c.à.c bombée (5g)        
Matin (shake).
Boire beaucoup d'eau.",Occlusion intestinale. Médicaments (espacer de 2h).
"Gel Aloe Vera Bio 99,2 % ","Tapisse la muqueuse, amplifie l'absorption des nutriments et hydrate au niveau cellulaire.",Brûlures d'estomac • Mauvaise assimilation • Peau déshydratée,Onatera,30 ml (2 c.à.s) matin & jeun,Aucune
Flocons de sarrasin biologiques ,Diffuse une énergie stable sans pic d'insuline (Carburant Pré-Workout idéal).,Coup de barre • Manque de force à l'entraînement • Digestion lourde,Nutrimuscle,30 à 60 g matin (shake) et ou avant l'éffort (shake),Aucune
Isolat de Caséine Micellaire Native ,Diffuse des acides aminés pendant 7h pour nourrir le muscle durant le sommeil.,Faim nocturne • Perte de muscle la nuit • Réveils affamés,Nutrimuscle,30 g soir coucher (et ou collation jour),Allergie Lait
Multivitamines Max ,Comble les failles enzymatiques et active le métabolisme énergétique global.,Fatigue chronique • Alimentation déséquilibrée • Immunité faible,Nutrimuscle,"2 gélules le matin avec lipides, jamais à jeun",Aucune à cette dose
Vitamines D3 + K2 MK7 1000 UI + 50 µg ,"Active l'immunité, fixe le calcium et stimule le rajeunissement cellulaire (Mitochondries). Agit comme une pro-hormone synthèse de Testostérone.",Immunité faible • Taux de Testo bas • Os fragiles • Vieillissement prématuré,Sunday Naturel,"4 gouttes (Sublingual) avant petit dej, laisser fondre 30 sec",Hypercalcémie. Traitement anticoagulant AVK (Previscan)
Huile oméga-3 30% DHA + 15% EPA Algues,"Éteint l'inflammation systémique, fluidifie les membranes et protège le cœur, cerveau.",Douleurs articulaires • Récupération lente • Risque cardiovasculaire,Sunday Naturel,"3 pipettes (1,5 ml), avec repas le plus riche en lipides. Jamais à jeun",Anticoagulants forts (>3g/j). Arrêt 1 sem. avant opération
Magnésium bisglycinate 750 mg,Déverrouille les tensions musculaires et apaise l'excitabilité nerveuse.,CrampeCrampes • Paupière qui saute • Stress physique • Dort mals • Paupière qui saute • Stressé • Dort mal,Sunday Naturel,3 gélules le soir,Insuffisance rénale sévère
Green Power bio ,Tamponne l'acidité métabolique (Alcalinise) et oxygène le sang (Chlorophylle).,Mange peu de légumes • Urines acides • Courbatures fréquentes,Sunday Naturel,1 c.à.s (3-5g) avec petit dej,Aucune
"Chlorelle Chikugo, Japon ",Chélate (Aimante) les métaux lourds et pesticides dans l'intestin pour les évacuer.,Mange du gros poisson (Thon) • Vie citadine • Maux de tête,Sunday Naturel,"20 comprimés soir
(Progressif : 10->15->20) espacer la prise de d'au moins 2 heures avec TOUS les autres compléments",Hémochromatose. Prise de médicaments (espacer de 2h)
Shilajit premium ,"Recharge la batterie cellulaire (ATP), élimine toxines et les métaux lourds des célulles et booste la production naturelle de Testostérone libre.",Baisse de libido/Drive • Fatigue profonde • Muscles plats • Manque de puissance,Onatera,2 gélules le matin,Goutte (acide urique). Excès de fer (hémochromatose)
Nac 600 libération prolongée ,Recharge le Glutathion pour nettoyer le foie et recycler les déchets cellulaires.,Fumeur • Pollution • Lendemain de soirée • Glaires/Mucus,Sunday Naturel,1 gélule le matin,Asthme actif (peut irriter). Ulcère gastrique.
Lactium® ,"Active les récepteurs GABA pour éteindre l'anxiété mentale (effet ""Xanax naturel"").",Rumine dans son lit • Stress mental aigu • Réveils nocturnes,Nutrimuscle,2 gélules avant le coucher ,Allergie Lait
Muscle Recover Ashwa Pro ,Coupe le pic de Cortisol du soir et synchronise la récupération nerveuse.,Tendu le soir • N'arrive pas à se poser • Sportif tardif,Sunday Naturel,"2 gélules        
Soir (dîner)",Hyperthyroïdie
Mélatonine Duo 1 mg ,"Envoie le signal ""Nuit"" immédiat au cerveau pour déclencher l'endormissement.","Envoie le signal ""Nuit"" immédiat au cerveau pour déclencher l'endormissement.",Sunday Naturel,"1 Comprimé (au besoin)
30 min avant coucher.
Usage ponctuel.",Conduite (somnolence). Maladies auto-immunes
Glycine Cristallisée ,Refroidit le corps pour déclencher le sommeil profond et agit comme le 'WD-40' de tes articulations et tendons.,Sommeil agité • Douleurs tendineuses • Récupération difficile,Nutrimuscle,6 à 10 g après l'éffort ou le soir,Aucune majeure
Créatine (Creapure®) ,Recycle l'ATP pour augmenter la force explosive et le volume intra-cellulaire.,Stagnation force • Muscles plats • Sports explosifs,Nutrimuscle,"3 g au matin et 3 g après l'éffort, l'insuline aide l'absorption.",Insuffisance rénale préexistante
Cluster Dextrin® ,Recharge le glycogène en plein effort sans aucune surcharge digestive (Vidange record).,"Séance longue (>1h15) • Hypoglycémie • ""Mur"" énergétique • Recharge rapide",Nutrimuscle,20 g pendant et après l'éffort,Diabète (surveiller glycémie)
Peptistrong®️ ,Active la signalisation de réparation musculaire accélérée post-effort (voie mTOR).,Récupération lente • Courbatures intenses • Perte de force,Nutrimuscle,"2,4 g au cours des repas et/ou après l’entraînement avec whey",Allergie aux fèves (Favisme)
VINITROX™ SPORT SUPPORT NOx+ ,Ouvre les vaisseaux sanguins (Vasodilatation) pour une congestion (Pump) maximale.,"Muscles ""vides"" • Mauvaise circulation • Manque de sensations",Sunday Naturel,2 à 4 capsules 30 min avant sport,Hypotension (baisse la tension)
Citrulline (L-citrulline base) en poudre,Booste l'Oxyde Nitrique (NO) et l'afflux sanguin vers le muscle (Congestion).,"Cherche le ""Pump"" maximal • Veut faire son booster maison",Nutrimuscle,6 à 8 g pré éffort,Hypotension
Bêta-Alanine Carnosyn® en poudre,Tamponne l'acide lactique pour repousser la brûlure musculaire et l'échec.,Échec rapide sur séries longues • Manque d'endurance musculaire,Nutrimuscle,4 g pré éffort,Picotements (Paresthésie) normaux mais surprenants
Caféine Naturelle en poudre,Bloque les récepteurs de fatigue (Adénosine) pour une vigilance immédiate.,Somnolence • Besoin d'un coup de fouet rapide,Nutrimuscle,100 à 300 mg pré éffort,"Cœur, Anxiété, Sommeil"
PRE-WORKOUT POWER UP ,"Déclenche le mode ""Guerre"" : Focus intense, Vasodilatation et Endurance lactique.",Manque de motivation • Pas de congestion • Fatigue avant sport,Coalition,2 dosettes (20g) 30 min avant sport.,Sensibilité caféine. Picotements intenses
OPC 40 haut de gamme Extrait de pépins de raisin,Resserre les parois veineuses pour empêcher l'eau de fuir dans les tissus.,Jambes lourdes • Cellulite aqueuse • Varicosités,Sunday Naturel,1 gélule matin,Fluidifiants sanguins (effet léger)
Citrate de potassium en gélules,Chasse le sodium (sel) de la cellule pour rétablir l'équilibre hydrique.,Visage bouffi le matin • Mange salé • Rétention d'eau globale,Sunday Naturel,2 gélules soir,Hyperkaliémie. Problèmes cardiaques ou rénaux
Extrait de thé vert EGCG dosage élevé ,Augmente la thermogenèse et l'oxydation des graisses (Métabolisme).,Métabolisme lent • Graisse tenace • Stockage calorique facile,Sunday Naturel,1 gélule matin ou avant Sport,Foie sensible. Ne pas prendre le ventre vide
"Extrait de racine de pissenlit en gélules
",Ouvre les vannes des reins (Diurétique) pour évacuer le volume d'eau excédentaire.,"Gonflement (Œdème) • Aspect ""Flotteux"" • Définition musculaire",Sunday Naturel,1 à 2 gélules matin cure courte (10-15 jours),Obstruction biliaire (calculs)
Complexe Skin Glow ,"Polisse le grain de peau, hydrate en profondeur et illumine le teint (Synergie).",Teint terne/gris • Peau fatiguée • Vieillissement prématuré,Sunday Naturel,3 gélules matin ou midi,Aucune
Ceramide-PCD® Phytoceramides ,Restaure la barrière lipidique (le ciment) pour une peau douce et étanche.,Peau de crocodile • Tiraillements • Peau sèche/atopique,Sunday Naturel,1 capsules matin,Aucune
Acide hyaluronique 250 mg haute qualité ,"Gorge le derme d'eau pour un effet ""repulpant"" mécanique sur les rides.","Rides & Ridules • Perte de volume • Peau ""froissée""",Sunday Naturel,1 gélule matin,Aucune
Astaxanthine 8 mg ,Colore naturellement la peau (Hâle) et protège des UV de l'intérieur.,Teint pâle • Sensibilité au soleil • Taches pigmentaires,Sunday Naturel,1 gélule matin (avec gras),Aucune
Vitamine B12 MH3A® 1000 µg ,Accélère la vitesse de traitement du cerveau et protège la gaine des nerfs (nootropique/overclocking).,Ralentissement mental • Fatigue nerveuse • Régime Végétal,Sunday Naturel,1 comprimé sous la langue ou contre la joue et laisser fondre totalement NE PAS AVALER,Aucune
Extrait d'hydne hérisson bio - Lion's Mane,Stimule le NGF (Facteur de croissance) pour réparer et créer des neurones.,Perte de mémoire • Difficulté d'apprentissage • Brouillard,Sunday Naturel,1 à 2 gélules matin (à jeun),Aucune
L-tyrosine 500 mg ,Recharge la Dopamine (le neurotransmetteur de la motivation et du drive).,"Procrastination • Pas d'envie le matin • Humeur ""Molle""",Sunday Naturel,1 gélules matin (à jeun strict) 30 min avant petit dej et 1 gélule 30 min avant repas midi,Hyperthyroïdie. Mélanome
Ashwagandha bio KSM-66® ,Écrase le Cortisol pour réduire le stress mental et débloquer la Testostérone naturelle.,"Anxiété & Surmenage • Stress qui ""mange"" le muscle • Baisse de désir • Pression mentale",Sunday Naturel,1 à 2 gélules par jour matin/midi,Hyperthyroïdie. Grossesse. Maladies auto-immunes.
Phyto Energy ,"Procure une vigilance ""Laser"" et calme, sans l'énervement du café (Théanine).",Sensible au café • Besoin de focus long • Coup de pompe,Sunday Naturel,1 à 2 gélules matin ou avant sport,Sensibles caféine